Age,Total,Male,Female
Total,39512223.00,19644854.00,19867369.00
0-4,2383716.00,1220085.00,1163631.00
5-9,2478850.00,1266874.00,1211976.00
10-14,2529137.00,1292852.00,1236285.00
15-19,2533694.00,1292178.00,1241516.00
20-24,2647279.00,1359751.00,1287528.00
25-29,3094978.00,1600681.00,1494297.00
30-34,2957974.00,1525571.00,1432403.00
35-39,2780574.00,1416586.00,1363988.00
40-44,2501526.00,1255993.00,1245533.00
45-49,2515419.00,1252341.00,1263078.00
50-54,2464326.00,1228030.00,1236296.00
55-59,2508777.00,1232488.00,1276289.00
60-64,2277858.00,1099031.00,1178827.00
65-69,1889872.00,887346.00,1002526.00
70-74,1496798.00,689389.00,807409.00
75-79,1017681.00,453052.00,564629.00
80-84,683918.00,292317.00,391601.00
85+,749846.00,280289.00,469557.00
0-17,8894641.00,4545773.00,4348868.00
0-4,2383716.00,1220085.00,1163631.00
5-13,4502359.00,2301518.00,2200841.00
14-17,2008566.00,1024170.00,984396.00
18-64,24779467.00,12496688.00,12282779.00
18-24,3678035.00,1885967.00,1792068.00
25-44,11335052.00,5798831.00,5536221.00
45-64,9766380.00,4811890.00,4954490.00
65+,5838115.00,2602393.00,3235722.00
16+,31616808.00,15608250.00,16008558.00
18+,30617582.00,15099081.00,15518501.00
14-55,16516025.00,8450760.00,8065265.00
Median age (years),37.00,35.90,38.20
,,,
,,,
,,,
,,,
,,,
