Year,Period,Area,Population Source,Population
2018,Annual,Alameda County,California Dept of Finance,"1,662,730"
2018,Annual,Alpine County,California Dept of Finance,"1,134"
2018,Annual,Amador County,California Dept of Finance,"38,146"
2018,Annual,Butte County,California Dept of Finance,"227,353"
2018,Annual,Calaveras County,California Dept of Finance,"44,572"
2018,Annual,Colusa County,California Dept of Finance,"22,260"
2018,Annual,Contra Costa County,California Dept of Finance,"1,147,327"
2018,Annual,Del Norte County,California Dept of Finance,"27,419"
2018,Annual,El Dorado County,California Dept of Finance,"189,360"
2018,Annual,Fresno County,California Dept of Finance,"1,010,837"
2018,Annual,Glenn County,California Dept of Finance,"28,755"
2018,Annual,Humboldt County,California Dept of Finance,"135,765"
2018,Annual,Imperial County,California Dept of Finance,"188,948"
2018,Annual,Inyo County,California Dept of Finance,"18,522"
2018,Annual,Kern County,California Dept of Finance,"907,055"
2018,Annual,Kings County,California Dept of Finance,"153,318"
2018,Annual,Lake County,California Dept of Finance,"65,020"
2018,Annual,Lassen County,California Dept of Finance,"30,527"
2018,Annual,Los Angeles County,California Dept of Finance,"10,269,935"
2018,Annual,Madera County,California Dept of Finance,"158,511"
2018,Annual,Marin County,California Dept of Finance,"262,326"
2018,Annual,Mariposa County,California Dept of Finance,"17,904"
2018,Annual,Mendocino County,California Dept of Finance,"88,875"
2018,Annual,Merced County,California Dept of Finance,"279,433"
2018,Annual,Modoc County,California Dept of Finance,"9,487"
2018,Annual,Mono County,California Dept of Finance,"13,827"
2018,Annual,Monterey County,California Dept of Finance,"444,252"
2018,Annual,Napa County,California Dept of Finance,"140,573"
2018,Annual,Nevada County,California Dept of Finance,"98,626"
2018,Annual,Orange County,California Dept of Finance,"3,215,372"
2018,Annual,Placer County,California Dept of Finance,"389,278"
2018,Annual,Plumas County,California Dept of Finance,"18,702"
2018,Annual,Riverside County,California Dept of Finance,"2,420,714"
2018,Annual,Sacramento County,California Dept of Finance,"1,537,386"
2018,Annual,San Benito County,California Dept of Finance,"61,437"
2018,Annual,San Bernardino County,California Dept of Finance,"2,178,940"
2018,Annual,San Diego County,California Dept of Finance,"3,344,438"
2018,Annual,San Francisco County,California Dept of Finance,"886,618"
2018,Annual,San Joaquin County,California Dept of Finance,"760,310"
2018,Annual,San Luis Obispo County,California Dept of Finance,"279,321"
2018,Annual,San Mateo County,California Dept of Finance,"774,570"
2018,Annual,Santa Barbara County,California Dept of Finance,"452,953"
2018,Annual,Santa Clara County,California Dept of Finance,"1,955,946"
2018,Annual,Santa Cruz County,California Dept of Finance,"275,168"
2018,Annual,Shasta County,California Dept of Finance,"178,239"
2018,Annual,Sierra County,California Dept of Finance,"3,136"
2018,Annual,Siskiyou County,California Dept of Finance,"44,128"
2018,Annual,Solano County,California Dept of Finance,"439,975"
2018,Annual,Sonoma County,California Dept of Finance,"500,499"
2018,Annual,Stanislaus County,California Dept of Finance,"554,616"
2018,Annual,Sutter County,California Dept of Finance,"101,337"
2018,Annual,Tehama County,California Dept of Finance,"64,703"
2018,Annual,Trinity County,California Dept of Finance,"13,385"
2018,Annual,Tulare County,California Dept of Finance,"475,781"
2018,Annual,Tuolumne County,California Dept of Finance,"52,843"
2018,Annual,Ventura County,California Dept of Finance,"855,713"
2018,Annual,Yolo County,California Dept of Finance,"222,054"
2018,Annual,Yuba County,California Dept of Finance,"77,426"
