FIPS,Name,2013 Rural-urban Continuum Code*,1970,1980,1990,2000,,2015-2019
6001,Alameda,1,14.60%,22.30%,28.80%,34.90%,,47.40%
6003,Alpine,8,3.00%,32.40%,24.00%,28.20%,,34.50%
6005,Amador,6,8.40%,12.60%,14.00%,16.60%,,19.30%
6007,Butte,3,11.00%,16.90%,19.50%,21.80%,,27.20%
6009,Calaveras,6,7.50%,13.80%,14.40%,17.10%,,18.30%
6011,Colusa,6,10.00%,12.30%,11.10%,10.60%,,15.00%
6013,Contra Costa,1,17.20%,25.50%,31.60%,35.00%,,42.40%
6015,Del Norte,7,7.30%,10.10%,10.00%,11.00%,,14.80%
6017,El Dorado,1,10.40%,17.40%,20.80%,26.50%,,34.30%
6019,Fresno,2,10.20%,15.20%,16.90%,17.50%,,21.20%
6021,Glenn,6,7.00%,9.30%,9.40%,10.70%,,14.20%
6023,Humboldt,5,10.00%,18.00%,20.00%,23.00%,,30.40%
6025,Imperial,3,7.30%,9.60%,9.70%,10.30%,,15.20%
6027,Inyo,7,9.30%,12.20%,13.50%,17.10%,,27.20%
6029,Kern,2,8.90%,11.80%,13.30%,13.50%,,16.40%
6031,Kings,3,8.60%,10.20%,9.00%,10.40%,,14.70%
6033,Lake,4,7.20%,10.20%,10.70%,12.10%,,15.50%
6035,Lassen,7,7.50%,11.90%,11.70%,10.70%,,12.90%
6037,Los Angeles,1,12.70%,18.50%,22.30%,24.90%,,32.50%
6039,Madera,3,7.00%,10.70%,11.70%,12.00%,,14.60%
6041,Marin,1,26.60%,38.30%,44.00%,51.30%,,59.50%
6043,Mariposa,8,10.10%,15.40%,16.80%,20.20%,,24.60%
6045,Mendocino,4,9.30%,17.60%,17.80%,20.20%,,24.40%
6047,Merced,2,8.30%,10.50%,12.00%,11.00%,,13.80%
6049,Modoc,6,7.00%,12.40%,11.20%,12.40%,,15.20%
6051,Mono,7,10.50%,22.70%,21.90%,28.90%,,28.80%
6053,Monterey,2,15.00%,19.60%,21.50%,22.50%,,24.70%
6055,Napa,3,11.40%,17.80%,22.30%,26.40%,,35.70%
6057,Nevada,4,9.70%,18.00%,22.10%,26.10%,,37.20%
6059,Orange,1,15.80%,22.60%,27.80%,30.80%,,40.60%
6061,Placer,1,10.00%,16.70%,22.70%,30.30%,,39.70%
6063,Plumas,7,9.10%,14.50%,15.10%,17.50%,,23.70%
6065,Riverside,1,10.60%,12.80%,14.60%,16.60%,,22.30%
6067,Sacramento,1,13.10%,19.30%,23.00%,24.80%,,30.90%
6069,San Benito,1,7.00%,10.60%,14.40%,17.10%,,19.70%
6071,San Bernardino,1,9.20%,13.10%,14.90%,15.90%,,21.00%
6073,San Diego,1,14.00%,20.90%,25.30%,29.50%,,38.80%
6075,San Francisco,1,16.70%,28.20%,35.00%,45.00%,,58.10%
6077,San Joaquin,2,8.00%,11.50%,13.20%,14.50%,,18.80%
6079,San Luis Obispo,2,11.10%,19.00%,22.90%,26.70%,,35.40%
6081,San Mateo,1,17.10%,25.50%,31.30%,39.00%,,51.00%
6083,Santa Barbara,2,17.90%,24.60%,26.60%,29.40%,,34.20%
6085,Santa Clara,1,19.50%,26.40%,32.60%,40.50%,,52.40%
6087,Santa Cruz,2,13.20%,23.50%,29.70%,34.20%,,40.80%
6089,Shasta,3,8.60%,12.40%,13.70%,16.60%,,22.20%
6091,Sierra,8,9.40%,18.00%,15.90%,17.20%,,17.90%
6093,Siskiyou,6,7.50%,14.10%,14.20%,17.70%,,23.20%
6095,Solano,2,9.30%,13.70%,18.70%,21.40%,,26.90%
6097,Sonoma,2,11.10%,19.30%,24.50%,28.50%,,35.50%
6099,Stanislaus,2,8.20%,11.80%,13.00%,14.10%,,17.10%
6101,Sutter,3,10.70%,14.40%,15.40%,15.30%,,18.20%
6103,Tehama,4,7.30%,9.10%,10.20%,11.30%,,15.70%
6105,Trinity,8,9.50%,13.60%,12.90%,15.50%,,19.50%
6107,Tulare,2,7.20%,10.10%,11.80%,11.50%,,14.60%
6109,Tuolumne,4,8.00%,13.70%,14.70%,16.10%,,20.50%
6111,Ventura,2,12.30%,18.20%,23.00%,26.90%,,33.80%
6113,Yolo,1,18.40%,27.00%,30.30%,34.10%,,41.40%
6115,Yuba,3,8.10%,9.30%,9.50%,10.30%,,17.10%
